team_team,team_TeamSp,team_TeamID,team_x3fg,team_x3fga,team_blks,team_bkpg,team_ast,team_apg,team_opp_fg,team_opp_fga,team_opp_fg_percent,team_fgm,team_fga,team_fg_percent,team_o_rebs,team_d_rebs,team_reb,team_rpg,team_st,team_gm,team_w_l,team_to,team_topg,team_rank,team_w,team_l,team_pct
tennesseetech,tennessee,1397,213,620,134,4.3,389,12.5,840,1904,44.1,742,1784,41.6,334,788,1122,36.19,226,31,8-23,517,16.7,327,8,23,25.8
tennesseetech,tennesseetech,1399,213,620,134,4.3,389,12.5,840,1904,44.1,742,1784,41.6,334,788,1122,36.19,226,31,8-23,517,16.7,327,8,23,25.8
dayton,dayton,1173,205,617,81,2.5,541,16.4,803,1941,41.4,902,1789,50.4,266,879,1145,34.7,164,33,21-12,414,12.5,81,21,12,63.6
loyolamaryland,lamar,1249,210,616,73,2.3,448,14,885,1819,48.7,842,1836,45.9,298,698,996,31.13,278,32,11-21,444,13.9,288,11,21,34.4
loyolamaryland,maryland,1268,210,616,73,2.3,448,14,885,1819,48.7,842,1836,45.9,298,698,996,31.13,278,32,11-21,444,13.9,288,11,21,34.4
charlotte,charlotte,1150,191,615,101,3.5,288,9.9,688,1570,43.8,598,1442,41.5,202,691,893,30.79,138,29,8-21,421,14.5,323,8,21,27.6
rhodeisland,rhodeisland,1348,172,615,129,3.9,401,12.2,774,1818,42.6,821,1914,42.9,378,816,1194,36.18,235,33,18-15,405,12.3,141,18,15,54.5
centralconnst,centralconn,1148,201,612,110,3.5,353,11.4,800,1817,44,754,1821,41.4,337,771,1108,35.74,172,31,11-20,427,13.8,281,11,20,35.5
rutgers,rutgers,1353,191,612,124,4,390,12.6,755,1776,42.5,771,1842,41.9,391,819,1210,39.03,201,31,14-17,408,13.2,222,14,17,45.2
kentucky,kent,1245,215,607,176,4.8,501,13.5,854,2134,40,978,2050,47.7,430,995,1425,38.51,220,37,30-7,466,12.6,15,30,7,81.1
kentucky,kentucky,1246,215,607,176,4.8,501,13.5,854,2134,40,978,2050,47.7,430,995,1425,38.51,220,37,30-7,466,12.6,15,30,7,81.1
minnesota,minnesota,1278,191,603,140,3.9,523,14.5,922,2107,43.8,887,2039,43.5,407,906,1313,36.47,175,36,22-14,419,11.6,98,22,14,61.1
california,california,1143,207,592,99,3.2,335,10.8,836,1708,48.9,739,1735,42.6,249,652,901,29.06,227,31,8-23,354,11.4,327,8,23,25.8
calstfullerton,calstfullerton,1168,187,589,118,3.5,407,12,864,2029,42.6,868,1911,45.4,288,936,1224,36,200,34,16-18,451,13.3,206,16,18,47.1
houstonbaptist,houston,1222,200,588,54,1.8,449,15,887,1805,49.1,865,1896,45.6,413,729,1142,38.07,234,30,12-18,442,14.7,256,12,18,40
houstonbaptist,houstonbap,1223,200,588,54,1.8,449,15,887,1805,49.1,865,1896,45.6,413,729,1142,38.07,234,30,12-18,442,14.7,256,12,18,40
valparaiso,valparaiso,1434,185,585,101,3.1,431,13.1,788,1822,43.2,802,1783,45,294,819,1113,33.73,202,33,15-18,436,13.2,220,15,18,45.5
american,american,1110,190,583,131,4.4,402,13.4,747,1709,43.7,780,1644,47.4,252,762,1014,33.8,221,30,15-15,386,12.9,182,15,15,50
highpoint,highpoint,1219,180,583,91,2.9,404,13,740,1753,42.2,763,1719,44.4,363,820,1183,38.16,170,31,16-15,406,13.1,165,16,15,51.6
southcarolinast,southcarolina,1376,193,582,60,1.8,386,11.4,903,1861,48.5,811,1892,42.9,383,755,1138,33.47,167,34,8-26,494,14.5,332,8,26,23.5
alabamaam,alabama,1104,182,576,49,1.5,384,12,811,1730,46.9,736,1807,40.7,321,704,1025,32.03,234,32,5-27,487,15.2,345,5,27,15.6
alabamaam,alabamaam,1105,182,576,49,1.5,384,12,811,1730,46.9,736,1807,40.7,321,704,1025,32.03,234,32,5-27,487,15.2,345,5,27,15.6
arkpinebluff,arkpinebluff,1115,194,574,109,3.4,365,11.4,779,1713,45.5,719,1685,42.7,320,743,1063,33.22,216,32,13-19,478,14.9,248,13,19,40.6
georgiatech,georgia,1208,176,573,166,5.2,433,13.5,740,1848,40,755,1714,44,262,809,1071,33.47,221,32,14-18,459,14.3,229,14,18,43.8
georgiatech,georgiatech,1210,176,573,166,5.2,433,13.5,740,1848,40,755,1714,44,262,809,1071,33.47,221,32,14-18,459,14.3,229,14,18,43.8
southernill,southern,1380,213,570,129,4,438,13.7,781,1830,42.7,802,1720,46.6,292,788,1080,33.75,212,32,17-15,448,14,153,17,15,53.1
saintpeters,saintpeters,1389,184,567,177,5.5,301,9.4,728,1677,43.4,707,1639,43.1,297,740,1037,32.41,172,32,10-22,489,15.3,311,10,22,31.3
neworleans,neworleans,1309,189,566,134,4.1,497,15.1,815,1860,43.8,862,1941,44.4,400,766,1166,35.33,285,33,19-14,517,15.7,127,19,14,57.6
pacific,pacific,1334,198,566,46,1.4,325,10.2,757,1631,46.4,710,1681,42.2,284,756,1040,32.5,199,32,14-18,426,13.3,229,14,18,43.8
monmouth,monmouth,1284,168,566,101,2.9,379,10.8,788,1879,41.9,794,1916,41.4,363,861,1224,34.97,237,35,14-21,502,14.3,256,14,21,40
mississippival,mississippi,1279,172,554,70,2.2,361,11.3,897,1935,46.4,730,1923,38,381,789,1170,36.56,176,32,6-26,415,13,341,6,26,18.8
jacksonst,jacksonst,1238,155,554,124,3.9,359,11.2,694,1649,42.1,717,1774,40.4,335,792,1127,35.22,209,32,13-19,437,13.7,248,13,19,40.6
grambling,grambling,1212,223,553,147,4.3,420,12.4,782,2003,39,834,1846,45.2,311,976,1287,37.85,193,34,17-17,535,15.7,182,17,17,50
towson,towson,1406,180,550,94,2.9,319,10,781,1792,43.6,810,1860,43.5,391,791,1182,36.94,154,32,10-22,390,12.2,311,10,22,31.3
mcneese,mcneese,1270,168,548,97,3.1,429,13.8,839,1839,45.6,760,1676,45.3,311,742,1053,33.97,147,31,9-22,450,14.5,318,9,22,29
eastcarolina,eastcarolina,1187,155,545,110,3.5,382,12.3,787,1753,44.9,749,1791,41.8,321,740,1061,34.23,224,31,10-21,416,13.4,302,10,21,32.3
southernu,southern,1380,180,544,86,2.7,372,11.6,792,1648,48.1,752,1710,44,316,665,981,30.66,216,32,7-25,510,15.9,334,7,25,21.9
morganst,morganst,1288,168,521,48,1.6,358,11.9,804,1726,46.6,757,1919,39.4,398,683,1081,36.03,230,30,9-21,401,13.4,316,9,21,30
indianast,indiana,1231,178,491,73,2.4,342,11,770,1709,45.1,757,1719,44,255,752,1007,32.48,207,31,15-16,402,13,202,15,16,48.4
indianast,indianast,1232,178,491,73,2.4,342,11,770,1709,45.1,757,1719,44,255,752,1007,32.48,207,31,15-16,402,13,202,15,16,48.4
floridaam,florida,1196,180,489,111,3.6,355,11.5,704,1645,42.8,719,1640,43.8,288,707,995,32.1,226,31,12-19,498,16.1,264,12,19,38.7
floridaam,floridaam,1197,180,489,111,3.6,355,11.5,704,1645,42.8,719,1640,43.8,288,707,995,32.1,226,31,12-19,498,16.1,264,12,19,38.7
chicagost,chicagost,1152,141,471,72,2.3,376,11.8,964,1989,48.5,718,1751,41,252,743,995,31.09,193,32,3-29,513,16,351,3,29,9.4
kennesawst,kennesaw,1244,136,438,106,3.3,362,11.3,907,1945,46.6,742,1945,38.1,378,785,1163,36.34,185,32,6-26,437,13.7,341,6,26,18.8
