team_team,team_TeamSp,team_TeamID,team_x3fg,team_x3fga,team_blks,team_bkpg,team_ast,team_apg,team_opp_fg,team_opp_fga,team_opp_fg_percent,team_fgm,team_fga,team_fg_percent,team_o_rebs,team_d_rebs,team_reb,team_rpg,team_st,team_gm,team_w_l,team_to,team_topg,team_rank,team_w,team_l,team_pct
missourist,missouri,1281,224,649,127,4,354,11.1,749,1656,45.2,774,1714,45.2,271,729,1000,31.25,221,32,16-16,385,12,182,16,16,50
missourist,missourist,1283,224,649,127,4,354,11.1,749,1656,45.2,774,1714,45.2,271,729,1000,31.25,221,32,16-16,385,12,182,16,16,50
maine,maine,1263,201,647,94,2.9,471,14.7,757,1661,45.6,747,1728,43.2,281,734,1015,31.72,239,32,5-27,460,14.4,345,5,27,15.6
northdakota,northdakota,1315,241,647,87,2.9,398,13.3,806,1783,45.2,822,1771,46.4,236,773,1009,33.63,171,30,12-18,381,12.7,256,12,18,40
alcorn,alcorn,1108,211,646,107,3.5,391,12.6,782,1744,44.8,709,1721,41.2,344,735,1079,34.81,229,31,10-21,492,15.9,302,10,21,32.3
northwesternst,northwestern,1321,190,646,139,4.5,340,11,792,1827,43.3,725,1790,40.5,354,753,1107,35.71,192,31,11-20,497,16,281,11,20,35.5
jacksonville,jacksonville,1239,213,645,166,5.2,457,14.3,883,1958,45.1,889,1954,45.5,333,832,1165,36.41,213,32,12-20,463,14.5,270,12,20,37.5
seattleu,seattle,1370,238,642,118,3.6,386,11.7,776,1901,40.8,852,1945,43.8,338,873,1211,36.7,141,33,18-15,404,12.2,141,18,15,54.5
sanjosest,sanjosest,1363,210,641,52,1.7,423,13.6,920,1947,47.3,713,1765,40.4,327,803,1130,36.45,131,31,4-27,485,15.6,348,4,27,12.9
wakeforest,wakeforest,1448,197,640,77,2.5,330,10.6,830,1788,46.4,714,1812,39.4,401,774,1175,37.9,150,31,11-20,417,13.5,281,11,20,35.5
bostonu,boston,1131,221,639,73,2.2,447,13.5,858,1821,47.1,922,1923,47.9,312,779,1091,33.06,199,33,15-18,424,12.8,220,15,18,45.5
georgemason,georgemason,1206,210,637,97,2.9,399,12.1,832,1894,43.9,825,1855,44.5,324,842,1166,35.33,204,33,18-15,428,13,141,18,15,54.5
stbonaventure,stbonaventure,1382,208,635,164,4.8,417,12.3,750,1864,40.2,821,1914,42.9,336,847,1183,34.79,199,34,18-16,420,12.4,156,18,16,52.9
bethunecookman,bethunecookman,1126,204,635,108,3.5,444,14.3,786,1901,41.3,833,1900,43.8,421,853,1274,41.1,234,31,14-17,501,16.2,222,14,17,45.2
yale,yale,1463,230,634,131,4.4,503,16.8,779,1889,41.2,893,1812,49.3,263,895,1158,38.6,177,30,22-8,392,13.1,38,22,8,73.3
ohio,ohio,1325,187,633,115,3.7,451,14.5,812,1861,43.6,803,1838,43.7,337,818,1155,37.26,200,31,14-17,449,14.5,222,14,17,45.2
oregonst,oregon,1332,203,633,164,5.3,465,15,762,1764,43.2,800,1728,46.3,311,780,1091,35.19,185,31,18-13,387,12.5,125,18,13,58.1
oregonst,oregonst,1333,203,633,164,5.3,465,15,762,1764,43.2,800,1728,46.3,311,780,1091,35.19,185,31,18-13,387,12.5,125,18,13,58.1
jacksonvillest,jacksonville,1239,200,633,136,4.1,446,13.5,798,1931,41.3,953,2062,46.2,401,909,1310,39.7,246,33,24-9,439,13.3,39,24,9,72.7
jacksonvillest,jacksonvillest,1240,200,633,136,4.1,446,13.5,798,1931,41.3,953,2062,46.2,401,909,1310,39.7,246,33,24-9,439,13.3,39,24,9,72.7
gasouthern,gasouthern,1204,204,632,132,4,403,12.2,899,2033,44.2,1012,2028,49.9,320,873,1193,36.15,255,33,21-12,452,13.7,81,21,12,63.6
gasouthern,southern,1380,204,632,132,4,403,12.2,899,2033,44.2,1012,2028,49.9,320,873,1193,36.15,255,33,21-12,452,13.7,81,21,12,63.6
georgewashington,ewashington,1186,196,631,96,2.9,375,11.4,849,1925,44.1,745,1842,40.4,275,840,1115,33.79,170,33,9-24,412,12.5,325,9,24,27.3
georgewashington,washington,1449,196,631,96,2.9,375,11.4,849,1925,44.1,745,1842,40.4,275,840,1115,33.79,170,33,9-24,412,12.5,325,9,24,27.3
longbeachst,longbeachst,1253,217,630,105,3.1,399,11.7,948,2133,44.4,877,2031,43.2,381,882,1263,37.15,219,34,15-19,480,14.1,228,15,19,44.1
denver,denver,1176,227,622,78,2.6,354,11.8,822,1748,47,755,1723,43.8,275,766,1041,34.7,142,30,8-22,408,13.6,326,8,22,26.7
amcorpuschristi,amcorpuschris,1394,202,621,90,2.8,423,13.2,694,1694,41,774,1803,42.9,352,807,1159,36.22,197,32,14-18,456,14.3,229,14,18,43.8
ballst,ballst,1123,202,621,118,3.6,426,12.9,851,2055,41.4,889,1892,47,311,932,1243,37.67,217,33,16-17,480,14.5,194,16,17,48.5
